feature,correlation_with_target,absolute_correlation
worst concave points,-0.7935660171412701,0.7935660171412701
worst perimeter,-0.7829141371737595,0.7829141371737595
mean concave points,-0.7766138400204368,0.7766138400204368
worst radius,-0.7764537785950398,0.7764537785950398
mean perimeter,-0.7426355297258336,0.7426355297258336
worst area,-0.7338250349210507,0.7338250349210507
mean radius,-0.7300285113754559,0.7300285113754559
mean area,-0.7089838365853908,0.7089838365853908
mean concavity,-0.6963597071719053,0.6963597071719053
worst concavity,-0.6596102103692335,0.6596102103692335
